AvgSpotLen	BioSample	Experiment	MBases	MBytes	Run	SRA_Sample	Sample_Name	biological_replicate	infection	time_point	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	source_name	strain	tissue
252	SAMN06887647	SRX2782237	5512	2084	SRR5506411	SRS2164437	GSM2598257	2	A/Wyoming/03/03 (H3N2)	02d	RNA-Seq	PRJNA385346	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-05-03	Mus musculus	ILLUMINA	2017-05-05	SRP106381	Mouse Lung Tissue	C57BL/6	Lung
252	SAMN06887646	SRX2782238	20396	7680	SRR5506412	SRS2164438	GSM2598258	3	A/Wyoming/03/03 (H3N2)	02d	RNA-Seq	PRJNA385346	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-05-03	Mus musculus	ILLUMINA	2017-05-05	SRP106381	Mouse Lung Tissue	C57BL/6	Lung
250	SAMN06887620	SRX2782239	10620	3481	SRR5506389	SRS2164439	GSM2598235	1	A/California/04/09 (H1N1)	12h	RNA-Seq	PRJNA385346	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-05-03	Mus musculus	ILLUMINA	2017-05-05	SRP106381	Mouse Lung Tissue	C57BL/6	Lung
250	SAMN06887619	SRX2782240	9289	3121	SRR5506390	SRS2164440	GSM2598236	2	A/California/04/09 (H1N1)	12h	RNA-Seq	PRJNA385346	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-05-03	Mus musculus	ILLUMINA	2017-05-05	SRP106381	Mouse Lung Tissue	C57BL/6	Lung
250	SAMN06887618	SRX2782241	9835	3290	SRR5506391	SRS2164441	GSM2598237	3	A/California/04/09 (H1N1)	12h	RNA-Seq	PRJNA385346	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-05-03	Mus musculus	ILLUMINA	2017-05-05	SRP106381	Mouse Lung Tissue	C57BL/6	Lung
252	SAMN06887665	SRX2782242	3329	1018	SRR5506392	SRS2164442	GSM2598238	1	A/Wyoming/03/03 (H3N2)	12h	RNA-Seq	PRJNA385346	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-05-03	Mus musculus	ILLUMINA	2017-05-05	SRP106381	Mouse Lung Tissue	C57BL/6	Lung
252	SAMN06887664	SRX2782243	3488	1064	SRR5506393	SRS2164443	GSM2598239	2	A/Wyoming/03/03 (H3N2)	12h	RNA-Seq	PRJNA385346	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-05-03	Mus musculus	ILLUMINA	2017-05-05	SRP106381	Mouse Lung Tissue	C57BL/6	Lung
252	SAMN06887663	SRX2782244	3308	1005	SRR5506394	SRS2164444	GSM2598240	3	A/Wyoming/03/03 (H3N2)	12h	RNA-Seq	PRJNA385346	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-05-03	Mus musculus	ILLUMINA	2017-05-05	SRP106381	Mouse Lung Tissue	C57BL/6	Lung
250	SAMN06887662	SRX2782245	13914	4675	SRR5506395	SRS2164445	GSM2598241	1	A/Vietnam/1203/04 (H5N1) HALo	12h	RNA-Seq	PRJNA385346	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-05-03	Mus musculus	ILLUMINA	2017-05-05	SRP106381	Mouse Lung Tissue	C57BL/6	Lung
250	SAMN06887661	SRX2782246	13014	4362	SRR5506396	SRS2164446	GSM2598242	2	A/Vietnam/1203/04 (H5N1) HALo	12h	RNA-Seq	PRJNA385346	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-05-03	Mus musculus	ILLUMINA	2017-05-05	SRP106381	Mouse Lung Tissue	C57BL/6	Lung
